                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.94912,                 1.5458,                 0.6784,                 1.0809,                0.70725,                0.68512,                0.69139,                0.41001,                0.71809,                0.70647,                0.71121,                0.39892,                 1.4892,                   2.68,                  1.284,                 1.4101,               0.001082,               0.001082,               0.001082
                     53,                0.95481,                 1.5473,                0.67449,                 1.0726,                0.71449,                0.60199,                0.65561,                0.38144,                 0.7314,                0.64677,                0.69144,                 0.3756,                 1.4771,                 2.7249,                 1.2789,                  1.448,               0.001064,               0.001064,               0.001064
                     54,                0.95448,                 1.5285,                0.67315,                 1.0882,                0.63978,                0.66272,                 0.6648,                0.39231,                 0.7719,                0.60697,                0.68392,                0.38311,                 1.4839,                 2.6877,                   1.24,                 1.4384,               0.001046,               0.001046,               0.001046
                     55,                0.93818,                 1.5296,                0.65798,                 1.0827,                0.70766,                0.60697,                0.66002,                0.39473,                0.62003,                0.68159,                0.65256,                0.37628,                 1.4579,                 2.6482,                 1.3749,                 1.4208,               0.001028,               0.001028,               0.001028
                     56,                0.95208,                 1.5565,                0.67689,                 1.0808,                 0.6858,                0.65154,                0.64503,                  0.378,                0.69627,                0.66149,                0.67262,                0.37929,                 1.5191,                 2.8515,                 1.3409,                 1.4709,                0.00101,                0.00101,                0.00101
                     57,                0.94095,                 1.5191,                0.66438,                 1.0762,                0.68813,                0.66169,                0.69656,                0.41731,                0.70764,                0.67437,                 0.7086,                0.40954,                 1.4652,                 2.8642,                 1.2267,                 1.4013,               0.000992,               0.000992,               0.000992
                     58,                0.92789,                 1.5122,                0.66971,                 1.0801,                0.66982,                0.69154,                0.68642,                0.41135,                0.67885,                 0.6941,                0.69905,                0.39923,                 1.4953,                 3.0318,                 1.2009,                 1.4553,               0.000974,               0.000974,               0.000974
                     59,                0.91267,                 1.4516,                0.64716,                 1.0627,                0.73381,                0.59204,                0.67222,                0.40768,                0.75706,                0.59701,                0.68994,                 0.3906,                 1.4687,                 2.7847,                 1.2905,                 1.4273,               0.000956,               0.000956,               0.000956
                     60,                0.93863,                 1.5125,                0.66159,                  1.068,                0.68526,                0.62189,                0.67464,                0.41158,                0.71556,                0.65082,                0.70351,                0.39975,                 1.4252,                 2.5779,                 1.2955,                 1.4132,               0.000938,               0.000938,               0.000938
                     61,                0.92591,                 1.4881,                  0.644,                 1.0668,                0.66464,                0.63105,                0.63846,                0.38231,                0.67152,                0.61692,                0.64414,                0.35975,                 1.4482,                 2.6562,                 1.3034,                 1.4222,                0.00092,                0.00092,                0.00092
                     62,                0.93318,                 1.5174,                0.65904,                 1.0629,                 0.7501,                0.63682,                0.69122,                0.41995,                0.76854,                0.65174,                0.71578,                0.40463,                 1.4308,                 2.8312,                 1.2124,                 1.4369,               0.000902,               0.000902,               0.000902
                     63,                0.91678,                  1.486,                0.64896,                 1.0635,                0.74983,                0.56716,                0.66406,                0.39258,                0.78272,                0.59204,                0.69566,                0.39098,                 1.5146,                 3.0438,                 1.3496,                 1.5002,               0.000884,               0.000884,               0.000884
                     64,                0.91038,                  1.467,                0.64241,                 1.0654,                0.69551,                0.69652,                0.70869,                0.42854,                0.70048,                0.70149,                0.73109,                0.41267,                 1.4437,                 2.5948,                 1.1488,                 1.4285,               0.000866,               0.000866,               0.000866
                     65,                0.89774,                 1.4724,                0.63387,                 1.0575,                0.65736,                0.70149,                0.67081,                0.40381,                0.67135,                0.71642,                0.70053,                0.37912,                 1.4573,                 2.6644,                 1.2749,                  1.434,               0.000848,               0.000848,               0.000848
                     66,                0.87461,                 1.4318,                0.60494,                 1.0455,                 0.7155,                0.67662,                 0.7137,                0.42838,                0.74707,                0.70647,                0.74899,                0.41493,                 1.4371,                 2.7814,                 1.1594,                 1.4288,                0.00083,                0.00083,                0.00083
                     67,                0.86924,                 1.4371,                0.60002,                  1.038,                0.66379,                0.71144,                0.67641,                0.40393,                0.67353,                0.72139,                0.69311,                0.39418,                 1.4584,                  2.777,                 1.2599,                 1.4329,               0.000812,               0.000812,               0.000812
                     68,                 0.8956,                 1.4538,                0.61619,                  1.056,                0.67726,                0.64677,                0.66299,                0.40786,                0.68768,                0.65672,                0.68102,                0.39818,                 1.4246,                 2.6902,                 1.3082,                 1.4339,               0.000794,               0.000794,               0.000794
                     69,                0.87455,                 1.4298,                0.59961,                 1.0517,                0.64346,                0.66169,                0.66141,                0.39965,                0.65799,                0.67002,                0.68798,                0.39183,                 1.4372,                 2.5539,                 1.2764,                  1.438,               0.000776,               0.000776,               0.000776
                     70,                 0.8831,                 1.4559,                0.61366,                  1.043,                0.63486,                0.68336,                0.65344,                0.39808,                0.64423,                0.71144,                0.68682,                0.38211,                 1.4519,                 2.6465,                 1.2995,                 1.4618,               0.000758,               0.000758,               0.000758
                     71,                0.88003,                  1.426,                0.60232,                 1.0475,                0.64164,                0.69154,                0.67438,                0.40738,                 0.6392,                0.69652,                0.67981,                0.39593,                  1.454,                 2.6635,                 1.2487,                 1.4298,                0.00074,                0.00074,                0.00074
                     72,                0.84926,                 1.3909,                0.58187,                 1.0344,                 0.6614,                0.69154,                0.68273,                0.41074,                0.66791,                0.70149,                0.68826,                0.39687,                 1.4172,                  2.607,                 1.2788,                 1.4069,               0.000722,               0.000722,               0.000722
                     73,                0.83592,                  1.369,                0.58294,                   1.03,                0.66828,                0.67164,                0.67189,                0.41141,                0.67323,                0.67662,                0.68783,                0.39753,                  1.449,                 2.6392,                 1.2656,                 1.4307,               0.000704,               0.000704,               0.000704
                     74,                0.85401,                 1.3867,                0.58774,                  1.038,                0.74214,                0.63005,                 0.6781,                0.40118,                0.75963,                0.64462,                 0.7009,                0.39376,                 1.4829,                 2.6933,                 1.3028,                 1.4161,               0.000686,               0.000686,               0.000686
                     75,                0.83109,                  1.399,                0.56267,                 1.0215,                 0.6984,                0.68657,                0.70143,                0.41798,                0.72051,                0.67976,                0.72239,                0.40786,                 1.4571,                 2.7319,                   1.24,                 1.4492,               0.000668,               0.000668,               0.000668
                     76,                0.83284,                 1.3831,                0.57149,                 1.0182,                0.68432,                0.66869,                0.68193,                0.40252,                0.70127,                0.67164,                0.70058,                0.37966,                 1.5158,                 2.7684,                 1.2326,                 1.4669,                0.00065,                0.00065,                0.00065
                     77,                0.82103,                 1.3689,                0.56425,                 1.0188,                0.70854,                0.61692,                0.68898,                0.42886,                0.72901,                0.63184,                0.70699,                 0.4114,                 1.4585,                 2.7297,                 1.2636,                  1.452,               0.000632,               0.000632,               0.000632
                     78,                0.81912,                 1.3667,                0.55291,                   1.01,                0.69416,                0.66622,                0.68287,                0.41708,                0.68586,                0.65174,                 0.6859,                0.39696,                 1.4839,                 2.8185,                 1.2981,                 1.4905,               0.000614,               0.000614,               0.000614
                     79,                0.82313,                 1.3756,                0.57152,                 1.0234,                0.64125,                0.70254,                0.69017,                0.42029,                0.69239,                 0.6607,                0.70723,                 0.3984,                  1.483,                 2.7447,                 1.2648,                 1.4793,               0.000596,               0.000596,               0.000596
                     80,                0.83054,                 1.3875,                0.56219,                 1.0194,                 0.7091,                0.66702,                0.70389,                0.42127,                0.72049,                0.67969,                0.71065,                0.39737,                  1.496,                 2.8828,                 1.2224,                 1.4835,               0.000578,               0.000578,               0.000578
                     81,                0.82478,                 1.3657,                0.55719,                 1.0169,                0.71696,                0.64179,                0.68367,                0.41958,                0.72252,                0.64677,                0.68525,                 0.4068,                 1.4391,                 2.7077,                 1.2658,                 1.4481,                0.00056,                0.00056,                0.00056
